LCN,Channel Name,Genre
9,HITS Movies HD,Movies
16,Celestial Classic Movies,Movies
17,Celestial Movies HD,Movies
19,Thrill,Movies
20,tvN Movies HD,Movies
21,HBO HD,Movies
22,HBO Signature HD,Movies
23,Cinemax HD,Movies
24,HBO Family HD,Movies
25,HBO Hits HD,Movies
26,Studio Universal HD,Movies
72,Nick Jr. HD,Kids
73,Nickelodeon HD,Kids
74,Cartoon TV Classics,Kids
75,Cartoon Network HD,Kids
76,Animax HD,Kids
77,Dreamworks TV HD,Kids
78,Moonbug Kids,Kids
79,Blippi & Friends,Kids
80,Tamagotchi Channel,Kids
81,BBC Cbeebies HD,Kids
82,Cartoonito HD,Kids
99,Love Nature 4K,Knowledge
100,Love Nature HD,Knowledge
101,Global Trekker HD,Knowledge
102,Outdoor Channel HD,Knowledge
103,Knowledge+,Knowledge
104,BBC Earth HD,Knowledge
105,History HD,Knowledge
107,Crime+Investigation HD,Knowledge
108,Discovery Asia HD,Knowledge
109,Discovery HD,Knowledge
110,Animal Planet HD,Knowledge
111,Discovery Science HD,Knowledge
112,DMAX HD,Lifestyle
113,TLC HD,Lifestyle
115,CGTN Documentary HD,Knowledge
154,Fashion TV,Lifestyle
155,HGTV HD,Lifestyle
157,BBC Lifestyle HD,Lifestyle
158,AFN HD,Lifestyle
208,Rock Action HD,Entertainment
209,Rock Entertainment HD,Entertainment
211,AXN HD,Entertainment
212,HITS Now HD,Entertainment
213,Lifetime HD,Entertainment
214,Warner TV HD,Entertainment
218,KIX HD,Entertainment
219,HITS HD,Entertainment
252,MTV Japan,Music
300,Fight Sports HD,Sports
301,SPOTV HD,Sports
302,SPOTV 2 HD,Sports
304,Xtrem Sports,Sports
305,Golf Network,Sports
331,CNBC Asia HD,News
332,CNA HD,News
333,CGTN HD,News
334,BBC News HD,News
336,CNN International HD,News
339,Bloomberg TV HD,News
340,TRT World HD,News
342,RT News HD,News
343,Al Jazeera English HD,News
344,The Indonesia Channel,International
350,tvN HD,Entertainment
351,Arirang TV HD,International
352,NHK World Japan HD,International
354,ABC Australia HD,International
355,Rai Italia,International
357,CCTV-4 HD,International
359,Euronews,News
360,TV5 Monde HD,International
361,TVE Asia,International
362,DW TV Asia HD,International
363,France 24 English,International
364,KBS World HD,Entertainment
448,Daystar TV,Religion
449,Sunnah TV,Religion
450,Quran TV,Religion
517,Momoiro Clover Z Channel,Music
600,Channel Info,In House
601,In House Channel,In House
602,TVRI Nasional HD,Local
603,Metro TV HD,Local
604,CNN Indonesia HD,Local
605,tvOne HD,Local
606,ANTV HD,Local
607,RCTI HD,Local
608,MNC TV HD,Local
609,Trans 7 HD,Local
610,Trans TV HD,Local
611,SCTV HD,Local
612,GTV HD,Local
613,Indosiar HD,Local
614,Kompas TV HD,Local
616,Jak TV,Local
617,BMS TV,Local
618,BTV HD,Local
619,IDX Channel HD,Local
620,DAAI TV,Religion
621,JTV,Local
622,Bali TV,Local
624,Elshinta TV,Local
625,MOJI TV HD,Local
629,iNews HD,Local
631,BeritaSatu HD,Local
632,Jawa Pos TV,Local
633,Garuda TV HD,Local
634,Sindonews TV HD,Local
635,CNBC Indonesia HD,Local
637,Channel Jowo HD,Local
638,TVRI World HD,Local
